"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"1286","SVE_0611300",0.19488978340449,0.508771653524085,0,0,0,0.0860020466247224,0.517899774021457,0.381300265117732,0.471668342886595,0.307698708831941,0,0.0723327236368352
"1287","SVE_0611400",0.0645890825799183,0.0633019912297883,0,0,0,0,0.0636490335031887,0,0.157469177623089,0.0769970674871688,0.150147346248172,0
"1288","SVE_0611500",0.129904216043131,0.190906865627187,0,0,0,0,0.255398108662146,0.251149282888865,0.0791220691197005,0,0,0.148751699847345
"1289","SVE_0611600",0.129051816636619,0.126480962673558,0,0,0,0,0.127046538365823,0.18741116367574,0.0786635884154457,0.0768980196581007,0.150185986129144,0.147384225527214
"1290","SVE_0611700",0,0.063558159761029,0.243848664537878,0,0,0,0.19198087055627,0.377625832541056,0.0790611545096093,0.154600267078734,0.0751881514875938,0.0738193162778737
"1291","SVE_0611800",0,0,0,0,0,0,0.0654972053013962,0,0,0,0,0
"1292","SVE_0611900",0,0,0,0,0,0,0,0,0,0,0,0
"1293","SVE_0612000",0,0,0,0,0,0,0,0.0641989902264385,0,0,0,0
"1294","SVE_0612100",0,0,0,0,0,0,0,0,0,0.0767057918140357,0,0
"1295","SVE_0612200",0,0,0,0,0,0,0,0,0,0,0,0
