"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961"
"24","SSTP_0000005700",0.0674298561943519,0.189286803680126,0.108103022162913,0.0171255127401487,0.0186371554715988,0.108436437715385,0,0,0,0.0168089111535456,0.0165297282630024,0,0,0.0164225782490991,0.016189159672126,0.188312319377701,0.116942690835596,0.0870967659116183,0.542701617539869,0.51235278517986,0.507029917276668
"25","SSTP_0000005800",0.0507865337141055,0.0861467110552426,0.0361526010155217,0,0,0.0180360568240752,0,0,0,0,0.016591292488102,0,0,0,0,0,0.0934639420699339,0.0216785004244551,0.0903500419567494,0.44021702734143,0.390528160500283
"26","SSTP_0000005900",0.0168523864028055,0.0688402536565543,0.090066670431088,0,0,0,0,0.0276486415912219,0,0,0,0,0.0253693154683438,0,0.0162041632159449,0,0.0233978592650154,0,0.0904876547761767,0.146381121263516,0.207581831133039
"27","SSTP_0000006000",0,0.0171811506250503,0.0178000237197305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234260141180507,0.0221054610673699,0,0.0720139851286851,0.0232382372002905
"28","SSTP_0000006050",0.0330379197519653,0,0,0.0335173230183926,0,0.0178403853639184,0,0,0,0,0,0,0,0.0165882664843664,0.0167071310901711,0,0.117402936550425,0.0670151070198861,0.26688907171522,0.119202921194132,0.184654306290568
"29","SSTP_0000006100",0.0167248859672397,0.0348023369298236,0.0180280071913875,0,0.0183711561032625,0.0182470854960214,0.0219583840990021,0.0273547137685567,0.036958958094955,0,0,0,0,0,0,0.166287357163779,0.047452111034845,0,0,0.218808439111333,0.211822279173403
"30","SSTP_0000006200",0.0167626644859335,0,0,0.0170967951758196,0,0,0,0,0,0,0.0164559623163949,0,0,0,0,0.0471392635017539,0.0468374820323721,0.0438129002894261,0.452816442117869,0.170267552214183,0.115769392277546
"31","SSTP_0000006300",0,0.0515404576054653,0,0.0341879004255974,0,0,0,0.0275695836433847,0,0,0,0,0,0,0,0.0705788881019025,0.046761398969974,0.0436225429434634,0.180823045374825,0.267694290631453,0.0692181915276126
"32","SSTP_0000006400",0.0506743184274104,0.0172209284019909,0,0.205680622587396,0.149378836298942,0.0903102420002001,0.0221323284868799,0.0553935484668288,0.0369802812018491,0,0,0,0,0,0,0.117690258636818,0.116930138558065,0.0652183849643341,0.27129427952769,0.219861034405688,0.253234997799673
"33","SSTP_0000006425",0,0.0349492844385039,0.0180229976057774,0.152146125069989,0.108711958849417,0.0720458793649144,0,0,0,0,0,0,0,0,0,0.0945262816316535,0,0.112430413117103,0,0.0240383871525783,0.0232569485000705
